sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Miret1	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret2	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret3	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret4	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret5	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret6	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret7	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret8	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret9	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret10	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret11	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret12	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret13	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
